country,incarceration
Central African Republic,16
Comoros,19
Faroe Islands (Denmark),23
Republic of Guinea,26
Congo (Brazzaville),27
Liechtenstein,27
Democratic Republic of Congo (formerly Zaire),29
India,33
Mali,33
Nigeria,35
Oman,36
Chad,39
Burkina Faso,41
Bangladesh,43
Pakistan,43
Mauritania,44
Niger,44
Iceland,45
Solomon Islands,46
Japan,47
Ghana,49
Liberia,49
Sudan,50
Timor-Leste (formerly East Timor),50
South Sudan,52
Andorra,53
Qatar,53
Sweden,53
Yemen,53
Finland,55
Sierra Leone,55
Cote d'Ivoire,56
Mozambique,57
Gambia,58
Syria,60
Denmark,61
Nepal,62
Senegal,62
Togo,62
Equatorial Guinea,63
Papua New Guinea,63
Tanzania,64
Marshall Islands,66
Bosnia and Herzegovina: Republika Srpska,67
Djibouti,67
Indonesia,69
Netherlands,69
Malawi,70
Norway,70
Bosnia and Herzegovina: Federation,73
Slovenia,73
Afghanistan,74
Monaco,74
Benin,77
Burundi,77
Germany,78
United Kingdom: Northern Ireland,78
"Ireland, Republic of",79
Cyprus (Republic of),80
Croatia,81
Madagascar,84
Switzerland,84
Sao Tome e Principe,87
Vanuatu,87
Sri Lanka,88
Italy,89
Greece,91
Isle of Man (United Kingdom),92
Lesotho,92
Angola,96
Austria,97
Belgium,98
Libya,99
Kosovo/Kosova,100
Mayotte (France),100
Haiti,102
France,103
Republic of (South) Korea,107
Cook Islands (New Zealand),109
Tuvalu,110
Kuwait,112
Myanmar (formerly Burma),113
Cameroon,114
Canada,114
Hong Kong (China),115
Cambodia,116
Egypt,116
China,118
Laos,119
Luxembourg,120
Reunion (France),120
Uganda,120
Kenya,121
Tajikistan,121
Bolivia,122
Guatemala,122
Iraq,123
Bulgaria,125
Zambia,125
Guernsey (United Kingdom),127
"Micronesia, Federated States of",127
Ethiopia,128
Lebanon,128
Armenia,130
Kiribati,130
Malta,131
Spain,131
Brunei Darussalam,134
Portugal,137
Nauru,140
Philippines,140
United Kingdom: Scotland,141
Romania,142
Serbia,142
French Polynesia (France),144
Namibia,144
Bhutan,145
Jamaica,145
Zimbabwe,145
United Kingdom: England & Wales,146
Vietnam,146
Jordan,150
Uzbekistan,150
Australia,152
Jersey (United Kingdom),152
Algeria,156
Gibraltar (United Kingdom),158
Venezuela,159
Argentina,160
Saudi Arabia,161
Ecuador,162
Aruba (Netherlands),165
Macedonia,166
Tonga,166
Kyrgyzstan,167
Ukraine,168
Nicaragua,171
Malaysia,172
Fiji,174
Mauritius,174
Paraguay,180
New Caledonia (France),181
Montenegro,182
Hungary,183
Suriname,183
Slovakia,186
Poland,187
Albania,192
Botswana,193
Gabon,193
Honduras,198
Macau (China),200
New Zealand,202
Guadeloupe (France),203
Mexico,204
Tunisia,204
Greenland (Denmark),208
Czech Republic,211
Singapore,219
Estonia,221
Kazakhstan,221
Moldova (Republic of),222
Morocco,222
Latvia,224
Curaí_ao (Netherlands),225
United Arab Emirates,229
Dominican Republic,232
Azerbaijan,236
Turkey,238
Colombia,240
Chile,242
Peru,251
Lithuania,254
Guyana,256
Martinique (France),256
Samoa (formerly Western Samoa),258
Georgia,262
Israel,265
Mongolia,266
Northern Mariana Islands (USA),267
Taiwan,267
Trinidad and Tobago,272
Swaziland,282
Cape Verde (Cabo Verde),286
Iran,287
Uruguay,291
South Africa,292
Dominica,300
Bahrain,301
Belarus,306
Anguilla (United Kingdom),307
Brazil,307
Barbados,322
French Guiana/Guyane (France),326
St. Lucia,327
Palau,343
Sint Maarten (Netherlands),347
Puerto Rico (USA),349
Costa Rica,352
Bermuda (United Kingdom),354
Bahamas,363
Cayman Islands (United Kingdom),369
St. Vincent and the Grenadines,378
American Samoa (USA),382
Antigua and Barbuda,403
Belize,410
Grenada,421
Maldives,421
Virgin Islands (United Kingdom),425
Panama,426
Rwanda,434
Russian Federation,450
Guam (USA),469
Thailand,476
Cuba,510
El Salvador,541
Virgin Islands (USA),542
Turkmenistan,583
St. Kitts and Nevis,607
United States of America,693
Seychelles,799
